strategy,run_name,fit_days,calibration_days,test_days,step_days,horizon,transaction_loss_pct,trading_days_per_year,p_win_threshold,holdout_days,live_model,live_decision_mode,Annualized Return,Annualized Vol,Sharpe,Cumulative Return,plot_path,output_dir
lgbm_deep_volatility Top-Decile,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,lgbm_deep_volatility,threshold_top1,0.02302318082910637,0.05521877788941465,0.416944773301835,0.005266623165720352,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelgbm_deep_volatility_modethreshold_top1
logreg Threshold,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg,threshold_top1,-0.05919295326703877,0.04352628929077123,-1.3599356671920413,-0.013982222882780726,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1
logreg Threshold Top-1,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg,threshold_top1,0.11368931749849454,0.05670443165687778,2.0049458953479338,0.02516012355576036,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1
logreg Threshold Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg,threshold_top1,-0.019286365919420456,0.04915162609168784,-0.3923851040745532,-0.00448409497149016,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1
logreg Top-1,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg,threshold_top1,0.11368931749849454,0.05670443165687778,2.0049458953479338,0.02516012355576036,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1
logreg Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg,threshold_top1,0.000927753247800478,0.04789941767169361,0.019368779264904053,0.00021402054930397263,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1
logreg Top-Decile,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg,threshold_top1,0.000927753247800478,0.04789941767169361,0.019368779264904053,0.00021402054930397263,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_modethreshold_top1
logreg_corr_regime Threshold,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_corr_regime,threshold_top1,-0.08039321790625464,0.04907937200107555,-1.6380245840246868,-0.01915473532341494,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1
logreg_corr_regime Threshold Top-1,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_corr_regime,threshold_top1,0.04799590909342144,0.05137579579926398,0.9342124700306644,0.010877118595850721,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1
logreg_corr_regime Threshold Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_corr_regime,threshold_top1,-0.13961263754445574,0.05294095766952999,-2.637138497115049,-0.03410617443600328,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1
logreg_corr_regime Top-1,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_corr_regime,threshold_top1,0.04799590909342144,0.05137579579926398,0.9342124700306644,0.010877118595850721,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1
logreg_corr_regime Top-3,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_corr_regime,threshold_top1,-0.06577048490645332,0.03787924622292783,-1.7363197915655268,-0.015577352955661317,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1
logreg_corr_regime Top-Decile,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_corr_regime,threshold_top1,-0.06577048490645332,0.03787924622292783,-1.7363197915655268,-0.015577352955661317,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_corr_regime_modethreshold_top1
logreg_returns_momentum Threshold,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_returns_momentum,threshold_top1,0.09327020043421186,0.04065768194486488,2.2940363535898043,0.020791670993624667,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1
logreg_returns_momentum Threshold Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_returns_momentum,threshold_top1,0.1360856022218513,0.07553769864470262,1.801558753622352,0.02988128630397746,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1
logreg_returns_momentum Threshold Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_returns_momentum,threshold_top1,0.09861116609188136,0.0664536515951584,1.4839089158354972,0.02194033457124167,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1
logreg_returns_momentum Top-1,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_returns_momentum,threshold_top1,0.1360856022218513,0.07553769864470262,1.801558753622352,0.02988128630397746,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1
logreg_returns_momentum Top-3,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_returns_momentum,threshold_top1,0.09861116609188136,0.0664536515951584,1.4839089158354972,0.02194033457124167,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1
logreg_returns_momentum Top-Decile,fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1,480,120,30,30,1,0.025,260,0.5,60,logreg_returns_momentum,threshold_top1,0.09861116609188136,0.0664536515951584,1.4839089158354972,0.02194033457124167,experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h1_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_returns_momentum_modethreshold_top1
logreg_volatility Threshold,fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1,480,120,30,30,5,0.025,260,0.5,60,logreg_volatility,threshold_top1,-0.021360950537497758,0.04562579882768857,-0.4681770201584855,-0.004970467110471999,experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1\pnl_curves.png,C:\Users\tbill\Documents\ml_engine\experiment_results\fit480_cal120_test30_step30_h5_cost0.025_tdpy260_pwin0.5_holdout60_livelogreg_volatility_modethreshold_top1
